symbol,name,reportDate,fiscalDateEnding,estimate,currency
AGX,Argan Inc,12/5/2023,10/31/2023,0.88,USD
AGXPF,AGXPF,11/27/2023,8/31/2023,0.01,USD
AGYS,Agilysys Inc,10/23/2023,9/30/2023,0.19,USD
AHCHY,AHCHY,10/25/2023,9/30/2023,0.4507,CNY
AHCO,AdaptHealth Corp,11/6/2023,9/30/2023,0.19,USD
AHEXY,AHEXY,11/2/2023,9/30/2023,0.4464,EUR
AHFCF,AHFCF,11/16/2023,9/30/2023,,CAD
AHG,Akso Health Group,12/3/2023,9/30/2023,,USD
AHH,Armada Hoffler Properties Inc,11/6/2023,9/30/2023,0.09,USD
AHIX,AHIX,11/14/2023,9/30/2023,0,USD
AHKSY,AHKSY,11/8/2023,9/30/2023,0.244,JPY
AHOTF,AHOTF,11/6/2023,9/30/2023,,USD
AHPI,AHPI,10/5/2023,9/30/2023,,USD
AHT,Ashford Hospitality Trust Inc,10/31/2023,9/30/2023,-1.3,USD
AI,C3.ai Inc - Class A,12/5/2023,10/31/2023,-0.18,USD
AIAD,AIAD,11/20/2023,9/30/2023,,USD
AIAGY,AIAGY,12/6/2023,9/30/2023,0.897,EUR
AIFLF,AIFLF,11/7/2023,9/30/2023,,JPY
AIFLY,AIFLY,11/13/2023,9/30/2023,0,JPY
AIFS,AIFS,11/7/2023,9/30/2023,,USD
AIG,American International Group Inc,10/30/2023,9/30/2023,1.56,USD
AIH,Aesthetic Medical International Holdings Group Ltd,11/26/2023,9/30/2023,,CNY
AIHS,Senmiao Technology Ltd,11/12/2023,9/30/2023,,USD
AIKI,AIKI,11/15/2023,9/30/2023,,USD
AILLP,AILLP,11/4/2023,9/30/2023,,USD
AILQF,AILQF,11/15/2023,9/30/2023,,CAD
AIM,AIM ImmunoTech Inc,11/13/2023,10/31/2023,-0.11,USD
AIMC,AIMC,10/30/2023,9/30/2023,,USD
AIMD,Ainos Inc,11/6/2023,9/30/2023,0,USD
AIMFF,AIMFF,11/7/2023,9/30/2023,,CAD
AIN,Albany International Corp - Class A,10/23/2023,9/30/2023,0.92,USD
AINC,Ashford Inc,11/1/2023,9/30/2023,1.61,USD
AIP,Arteris Inc,11/6/2023,9/30/2023,-0.18,USD
AIQUY,AIQUY,10/25/2023,9/30/2023,0,EUR
AIR,AAR Corp,9/26/2023,8/31/2023,0.7,USD
AIR,AAR Corp,12/18/2023,11/30/2023,0.7633,USD
AIRC,Apartment Income REIT Corp - Class A,11/1/2023,9/30/2023,0.08,USD
AIRG,Airgain Inc,11/8/2023,9/30/2023,-0.02,USD
AIRI,Air Industries Group,11/13/2023,9/30/2023,,USD
AIRS,Airsculpt Technologies Inc,11/8/2023,9/30/2023,-0.02,USD
AIRT,Air T Inc,11/8/2023,9/30/2023,,USD
AIRYY,AIRYY,11/2/2023,9/30/2023,1.01,CNY
AIT,Applied Industrial Technologies Inc,10/25/2023,9/30/2023,2.09,USD
AITX,AITX,10/19/2023,8/31/2023,,USD
AIV,Apartment Investment & Management Co. - Class A,11/6/2023,9/30/2023,,USD
AIVN,AIVN,11/1/2023,8/31/2023,0,USD
AIXN,AIXN,11/20/2023,9/30/2023,,USD
AIZ,Assurant Inc,10/30/2023,9/30/2023,2.23,USD
AJG,Arthur J. Gallagher & Company,10/25/2023,9/30/2023,1.95,USD
AJIA,AJIA,10/13/2023,9/30/2023,,USD
AJINY,AJINY,11/8/2023,9/30/2023,0,JPY
AJRD,AJRD,10/30/2023,9/30/2023,0.52,USD
AJX,Great Ajax Corp,11/1/2023,9/30/2023,0.05,USD
AKA,a.k.a. Brands Holding Corp,11/8/2023,9/30/2023,-0.0114,USD
AKAM,Akamai Technologies Inc,11/6/2023,9/30/2023,1.5,USD
AKBA,Akebia Therapeutics Inc,11/1/2023,9/30/2023,-0.08,USD
AKBTY,AKBTY,10/26/2023,9/30/2023,0.1495,TRY
AKLI,Akili Inc,11/9/2023,9/30/2023,-0.2039,USD
AKO-A,Embotelladora Andina S.A.,11/1/2023,9/30/2023,0.2611,CLP
AKO-B,Embotelladora Andina S.A.,11/1/2023,9/30/2023,0.2611,CLP
AKOM,AKOM,10/4/2023,9/30/2023,,USD
AKR,Acadia Realty Trust,10/30/2023,9/30/2023,-0.01,USD
AKRFF,AKRFF,11/7/2023,9/30/2023,,CAD
AKRO,Akero Therapeutics Inc,11/2/2023,9/30/2023,-0.68,USD
AKTAF,AKTAF,11/1/2023,9/30/2023,,CAD
AKTS,Akoustis Technologies Inc,11/13/2023,9/30/2023,-0.18,USD
AKTX,Akari Therapeutics Plc,12/1/2023,9/30/2023,-0.6,USD
AKYA,Akoya Biosciences Inc,11/6/2023,9/30/2023,-0.37,USD
AKZOY,AKZOY,10/25/2023,9/30/2023,0.462,EUR
AL,Air Lease Corp - Class A,11/1/2023,9/30/2023,1.12,USD
ALB,Albemarle Corp,10/31/2023,9/30/2023,4.1,USD
ALBKY,ALBKY,11/9/2023,9/30/2023,0.0249,EUR
ALBO,ALBO,11/6/2023,9/30/2023,,USD
ALBT,Avalon GloboCare Corp,11/13/2023,9/30/2023,,USD
ALBY,ALBY,10/20/2023,9/30/2023,,USD
ALC,Alcon Inc,11/15/2023,9/30/2023,0.6634,USD
ALCO,Alico Inc,12/4/2023,9/30/2023,-0.34,USD
ALDS,ALDS,10/7/2023,9/30/2023,,USD
ALDX,Aldeyra Therapeutics Inc,11/8/2023,9/30/2023,-0.32,USD
ALE,Allete Inc,11/7/2023,9/30/2023,0.68,USD
ALEAF,ALEAF,11/7/2023,9/30/2023,,CAD
ALEC,Alector Inc,11/6/2023,9/30/2023,-0.66,USD
ALEX,Alexander & Baldwin Inc,11/1/2023,9/30/2023,0.12,USD
ALFVY,ALFVY,10/25/2023,9/30/2023,0.3816,SEK
ALG,Alamo Group Inc,11/1/2023,9/30/2023,2.69,USD
ALGM,Allegro Microsystems Inc,10/25/2023,9/30/2023,0.37,USD
ALGN,Align Technology Inc,10/25/2023,9/30/2023,2.27,USD
ALGS,Aligos Therapeutics Inc,10/31/2023,9/30/2023,-0.47,USD
